,Datetime,Tweet Id,Text,Username
61,2021-11-30 23:59:34+00:00,1465832909407850499,"Check out our podcast on COVID-19! In it, you'll learn about the presentation, investigations, and management of this respiratory infection. The podcast was created by Drs. Gauri Shah and Joan Robinson, pediatric infectious diseases specialists.
https://t.co/mp7R6dokBu https://t.co/LsWgqBfW6Y",PedsCases
62,2021-11-30 23:59:34+00:00,1465832909386964996,@_225Lee get a rapid covid test today,saintsbetter
63,2021-11-30 23:59:33+00:00,1465832908309123074,"@RomeovilleKid Damn, Covid got the streak",chasing_fiction
64,2021-11-30 23:59:32+00:00,1465832903443578884,WHO advises vulnerable and unvaccinated people against COVID-19 not to travel to epidemiologically dangerous areas https://t.co/kvWvw9wDhH,Proiqra
65,2021-11-30 23:59:32+00:00,1465832902994931712,"Lakers' LeBron James: Enters COVID-19 protocols
https://t.co/Hj84GbX4L5",CarlosElie6
66,2021-11-30 23:59:32+00:00,1465832901514252295,LA County Sheriff Boots China-Linked Covid Testing Firm After FBI Warns Over DNA Data https://t.co/jKmYlC4Jvd,cyber_variant
67,2021-11-30 23:59:32+00:00,1465832900700647436,"@richarddoomed Larry Davis is 100 years old, so even vaccinated, he’s at risk from Covid. Better safe than sorry",hyenasandgin
68,2021-11-30 23:59:32+00:00,1465832900641841156,@LondonDocDave No. Obesity is a risk factor for bad covid outcomes but being unvaccinated is a far bigger risk,eliowa
69,2021-11-30 23:59:31+00:00,1465832898267910145,New from JSOnline and PackersNews: Packers ILB De'Vondre Campbell lands on COVID-19 list but may not miss any games https://t.co/nNMnYO0sTS #Packers,TomSilverstein
70,2021-11-30 23:59:31+00:00,1465832897257119744,"1. Age- duh

2. Covid absolutely should not count https://t.co/MXyiI7BwnT",Ludlowfnl
71,2021-11-30 23:59:30+00:00,1465832894912503815,Montreal North: 10% of kids have had Covid https://t.co/8EkkHbqFYI,MTLCity
72,2021-11-30 23:59:30+00:00,1465832894795026441,@willschones @RubinReport Covid is almost as weak as you are. Most of us with working immune systems cleared it just fine without cowering like little cuck bitches.,Vaelik
73,2021-11-30 23:59:30+00:00,1465832893805174787,@RepSwalwell I am proudly unvaxxed and have had Covid 19. I survived. Stop spreading propaganda and lies. You know what other choice that your children did not have? Their father having sex with a communist spy. Bet you don't want to discuss that though.,BundrickSuzanne
74,2021-11-30 23:59:30+00:00,1465832892932579329,"In another new low, anti-vaccine conspiracists are selling fake vaccine passes on the black market in order to avoid getting vaccinated against COVID-19. https://t.co/w1PFWErGV1",AntiFascistAkl
75,2021-11-30 23:59:30+00:00,1465832892249133059,I hate covid https://t.co/p3HgSA5c3s,Redman_Lyons
76,2021-11-30 23:59:29+00:00,1465832889648656388,"Hey, nightmare hellscape US. Someone we know was SENT HOME from the hospital after finding out she tested Covid positive, IN THE MIDDLE OF LABOR. She is giving birth. At home. Because they sent her home. Covid. She was like 5cm dilated and they told her to leave.",Crowned_Doe
77,2021-11-30 23:59:28+00:00,1465832887924707337,"@drdavidsamadi Covid testing in Italy is paid by the government. Your ""family of four"" doesn't pay sh*t to get tested.

Stop projecting your country's shortcomings onto others. Just because Italy is also a Western country does not mean that they live in a capitalist dystopia like the US.",Popopipelpupel1
78,2021-11-30 23:59:28+00:00,1465832884921581568,@ctvwinnipeg Next thing you know she’ll start injecting herself with bleach to fight off the covid 🙄,SIINNIISTER
79,2021-11-30 23:59:27+00:00,1465832882950352899,I’m a covid survivor .. but y’all food smell taste so fucking nasty now! Omg I can’t ever enjoy a good meal,iswayy_mills
80,2021-11-30 23:59:27+00:00,1465832881406816257,"Fundamentally, in the heart of hearts? A lot of Christians feel like if you suffer or have bad things happen- you must have secret sin. You see it with Covid + also with school shootings.

This is why we’re leaving your churches in droves. You don’t know how to deal with sorrow.",Nelba_MG
81,2021-11-30 23:59:25+00:00,1465832873517322243,FDA advisers narrowly endorse Merck's COVID-19 antiviral pill https://t.co/M6ndHNqQVc,kcautv
82,2021-11-30 23:59:25+00:00,1465832871931912192,@XXXMEEZY Lebron got covid he out,MrNewYorkCity30
83,2021-11-30 23:59:24+00:00,1465832870371602434,"@TED44E ...measures that could/should be taken on a bipartisan basis, by our elected officials, since COVID doesn't know who is red and who is blue. It's sad that it's falling to these agencies to act. Our political system is broken. In times of ""war,"" we used to be able to pull together",KO_Reporter
84,2021-11-30 23:59:24+00:00,1465832867540267008,@gillibrandny @SenateDems Does the booster prevent you from getting or spreading Covid?  No… ok just checking.,tee2grn79
